class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_a,rough_a,slp_d,sp_a
not,1160.540039,5.78613,0.627117,0.124307,-0.50281,0.544926,3.3362899,15.4446001,4.6798301
not,2542.149902,5.23629,3.5541301,1.30476,-2.2493701,0.714096,3.29283,17.7028999,5.2438202
not,595.1240234,8.9445896,0.125461,-0.112417,-0.237878,0.90356,2.20789,1.12091,5.82481
not,7423.740234,7.0837498,-0.0417827,-0.0140289,0.0277538,0.471553,5.7558198,26.7103004,-3.4555399
not,0,14.9659004,-1.0454299,-0.885344,0.16009,0.224845,2.2586901,2.52228,-6.0300798
not,1895.560059,8.3817902,0.167282,0.0700156,-0.0972659,0.579608,2.5547199,5.4937801,0.8992
not,514.8430176,6.1986098,-0.167131,-0.0743566,0.0927742,0.499596,2.94665,6.9520402,-0.324799
not,36.031601,6.0182099,1.50508,0.960231,-0.544851,0.372697,2.17347,4.1763701,-2.42155
not,203.6340027,6.4179401,0.627306,0.128162,-0.499144,0.426826,2.2602999,2.80299,-2.69894
not,515.3469849,8.5813799,-0.0461155,-0.0268184,0.0192971,0.560912,1.2190599,1.28939,0.316498
not,0,12.1483002,-4.2602501,-1.88762,2.3726399,0.220693,2.5978999,2.7931299,-10.8857002
not,1590.589966,6.3322301,-2.5086999,-1.20681,1.30188,0.548084,3.62011,17.7474003,7.42735
not,1337.979981,7.7592201,-0.196066,-0.200142,-0.0040761,0.57114,2.2611599,3.6629901,1.36584
not,1452.439941,8.9511604,-0.460024,-0.294402,0.165622,0.692099,2.12853,3.3373699,3.2723401
not,1742.280029,7.9087701,0.0749753,0.0734358,-0.0015395,0.552341,2.16834,4.4131098,0.47084
not,2476.23999,5.4500799,-1.5466,0.0265115,1.57311,0.397838,4.1463599,14.4538002,-4.3365002
not,2684.040039,7.8200598,0,0.0177298,0.0177298,0.763434,2.0369999,1.38032,3.57991
not,1814.27002,7.8519902,0.62723,0.0666165,-0.560614,0.4568,4.3076,19.2940998,-2.65961
not,1516.219971,7.5776401,-0.209064,-0.167984,0.0410806,0.536275,4.09162,11.2874002,-4.21487
not,2100.679932,7.31639,-0.0420464,-0.0011768,0.0408696,0.586996,2.2451999,4.5595102,0.655136
not,665.427002,5.8309999,0.355059,-0.131743,-0.486802,0.781115,3.1599801,9.9878302,4.4052401
not,2177.840088,6.8723202,-0.334412,-0.260233,0.074179,0.508392,3.8603301,13.9638004,1.83711
not,24.8097992,6.45713,0.836106,0.472728,-0.363378,0.0694381,3.57585,2.8710401,-12.7797003
not,539.7020264,6.25983,0.12531,-0.0022564,-0.127567,0.464469,3.92502,12.9195004,3.8283401
not,849.3850098,6.7144799,0.17979,0.19762,0.0178295,0.44463,2.6644399,2.08445,-0.453186
not,2279.320068,6.1315098,-0.041745,0.49491,0.536655,0.514404,4.16923,18.0557003,5.9268098
not,1668.849976,5.5231099,0.0042197,0.0236174,0.0193977,0.592476,2.65734,6.8316202,2.3602901
not,387.1520081,8.5428896,-2.5004101,-1.04805,1.45235,0.309184,2.8043799,10.2750998,-3.3812599
not,1060.609985,5.5201702,2.0697701,1.2859401,-0.783831,0.582974,2.6786599,13.5125999,3.52774
not,3707.850098,6.3278499,-0.0962999,-0.0750182,0.0212817,0.573472,4.2561002,17.8202991,1.86827
not,2171.550049,6.8808799,-0.877851,-0.208298,0.669553,0.52002,4.36518,21.8320999,1.72063
not,187.5039978,6.2817101,-2.2997401,-1.09321,1.20654,0.348984,2.49071,9.5543404,-5.7546701
not,1755.420044,9.0305796,0.418204,0.866637,0.448434,0.441987,4.8026099,23.3110008,-1.3267601
not,154.4320068,6.45573,2.0487499,1.0512,-0.997551,0.544225,4.5853,18.2635994,-1.12024
