FID,POINTID,GRID_CODE,class,predB1,predB2,predB3,predB4,predB5,predB6,predB7,predB8,predB9,predB10,predB11,predB12,predB13,predB14,predB15,predB16,predB17,predB18,imgB1,imgB2,imgB3,imgB4,imgB5,pca1,pca2,ndvi,ndvir,skp,diff,lst,grd,all,frst,grdr,lstr,allr,frstr,rand,rand2,rand3,id_2,rand4,rand5,pcaxB1,pcaxB2,pcaxB3,pcaxB4,pcaxB5
2221,36086,3,shrub,6054,4843,3592,4554,6467,11521,7229,42123,36628,10407,1380,1331,1056,1549,32,32,32,32,6054.000000000000000,4843.000000000000000,3592.000000000000000,4554.000000000000000,6467.000000000000000,11521,7229,0.2858140,0.1180950,1.3896900,3.8696599,21.2367992,16.2500000,20.4906006,23.8332996,32,32,32,32,0,3,0,3,1,1,11389,7240,8432,5518,1827
2222,36087,3,shrub,5834,4667,3183,4220,6361,10978,7101,43668,37348,10864,1529,1579,65,1903,35,35,35,17,5834.000000000000000,4667.000000000000000,3183.000000000000000,4220.000000000000000,6361.000000000000000,10978,7101,0.3329840,0.1400780,18.9372997,4.9180899,23.5333004,1.0000000,24.2940998,29.2856998,35,35,35,17,0,3,0,3,1,1,10833,7140,8609,5384,1784
2223,36095,3,shrub,5582,4637,3179,4092,5890,10564,7378,42552,36873,10194,1650,1564,975,1662,29,29,29,28,5582.000000000000000,4637.000000000000000,3179.000000000000000,4092.000000000000000,5890.000000000000000,10564,7378,0.2989300,0.1255670,30.8523006,3.3816500,25.3845997,15.0000000,24.0713997,25.5832996,29,29,29,28,0,3,0,3,1,1,10445,7452,8393,5306,1831
2224,36104,3,shrub,5671,4889,3162,4444,6215,11012,7178,43426,38281,10530,1340,1242,1002,1396,35,35,35,34,5671.000000000000000,4889.000000000000000,3162.000000000000000,4444.000000000000000,6215.000000000000000,11012,7178,0.3255840,0.1685510,20.7269001,4.1533499,20.6275005,15.4167004,19.1077003,21.4792004,35,35,35,34,0,3,0,3,1,1,10882,7226,8424,5197,2047
2225,36124,1,barren,9474,8982,8080,6767,6241,17668,10922,28553,29862,8885,1404,1404,1388,1404,10,10,10,10,9474.000000000000000,8982.000000000000000,8080.000000000000000,6767.000000000000000,6241.000000000000000,17668,10922,-0.1284130,-0.0884354,30.1965008,0.3787230,21.6070995,21.3684006,21.6070995,21.6070995,10,10,10,10,0,1,0,1,1,1,17788,10668,7390,5226,1620
2226,36155,3,shrub,5584,4498,3108,4067,5880,10458,7335,42863,37138,9712,1560,1575,1080,1813,33,33,33,20,5584.000000000000000,4498.000000000000000,3108.000000000000000,4067.000000000000000,5880.000000000000000,10458,7335,0.3084110,0.1336590,19.9508991,2.2752700,24.0000000,16.6250000,24.2399998,27.8999996,33,33,33,20,0,3,0,3,1,1,10334,7408,8444,5397,1837
2227,36156,3,shrub,5681,4733,3275,4082,5731,10613,7602,41693,36353,9641,1809,1745,1755,1885,43,43,43,43,5681.000000000000000,4733.000000000000000,3275.000000000000000,4082.000000000000000,5731.000000000000000,10613,7602,0.2727070,0.1096910,18.8798008,2.1130700,27.8332996,27.0000000,26.8570995,29.0000000,43,43,43,43,0,3,0,3,1,1,10508,7674,8380,5297,1824
2228,36157,3,shrub,5755,4594,3166,3950,5677,10461,7627,42062,36369,10256,1996,1976,0,1976,0,20,20,20,5755.000000000000000,4594.000000000000000,3166.000000000000000,3950.000000000000000,5677.000000000000000,10461,7627,0.2839530,0.1101740,22.4601994,3.5248101,30.7143002,0.0000000,30.4090996,30.4090996,0,20,20,20,1,3,0,3,1,1,10350,7699,8528,5379,1770
2229,36165,3,shrub,5872,4946,3665,4709,6748,11709,6950,42459,36844,9992,1644,1569,1327,1737,41,41,41,34,5872.000000000000000,4946.000000000000000,3665.000000000000000,4709.000000000000000,6748.000000000000000,11709,6950,0.2960720,0.1246720,6.1879401,2.9185801,25.3022995,20.4286003,24.1399994,26.7381001,41,41,41,34,1,3,0,3,1,1,11570,6963,8260,5409,1855
2230,36170,3,shrub,5259,4815,3288,4527,6793,11146,6531,44150,37953,10418,1235,1224,980,1451,40,40,40,38,5259.000000000000000,4815.000000000000000,3288.000000000000000,4527.000000000000000,6793.000000000000000,11146,6531,0.3476840,0.1585410,2.7390399,3.8957200,19.0000000,15.0832996,18.8421001,22.3332996,40,40,40,38,0,3,0,3,1,1,10994,6591,8122,5128,1904
