FID,POINTID,GRID_CODE,class,predB1,predB2,predB3,predB4,predB5,predB6,predB7,predB8,predB9,predB10,predB11,predB12,predB13,predB14,predB15,predB16,predB17,predB18,imgB1,imgB2,imgB3,imgB4,imgB5,pca1,pca2,ndvi,ndvir,skp,diff,lst,grd,all,frst,grdr,lstr,allr,frstr,rand,rand2,rand3,id_2,rand4,rand5,pcaxB1,pcaxB2,pcaxB3,pcaxB4,pcaxB5
0,27,4,forest,5740,4491,3957,4120,5154,10560,8205,37063,33421,14785,682,553,697,556,28,28,28,22,5740.000000000000000,4491.000000000000000,3957.000000000000000,4120.000000000000000,5154.000000000000000,10560,8205,0.1313800,0.0201808,24.2059002,13.9110003,10.5000000,10.7333002,8.5111103,8.5652199,28,28,28,22,0,4,0,4,1,1,10501,8288,7886,5760,1668
1,106,4,forest,5813,4832,4265,4311,5242,10995,8314,36126,32935,16118,1016,700,1098,590,42,42,42,42,5813.000000000000000,4832.000000000000000,4265.000000000000000,4311.000000000000000,5242.000000000000000,10995,8314,0.1027660,0.0053638,34.8208008,16.9692001,15.6388998,16.9048004,10.7826004,9.0833302,42,42,42,42,0,4,0,4,1,1,10952,8387,7706,5636,1670
2,115,4,forest,6187,5257,4807,4824,5421,11887,8530,34726,32817,15847,1082,725,1082,496,32,32,32,32,6187.000000000000000,5257.000000000000000,4807.000000000000000,4824.000000000000000,5421.000000000000000,11887,8530,0.0600313,0.0017651,22.3288002,16.3470993,16.6537991,16.6537991,11.1667004,7.6363602,32,32,32,32,0,4,0,4,1,1,11862,8559,7519,5700,1782
3,125,4,forest,5814,4848,4530,4543,5214,11197,8386,35059,32806,13221,1610,1194,1606,1064,40,40,40,40,5814.000000000000000,4848.000000000000000,4530.000000000000000,4543.000000000000000,5214.000000000000000,11197,8386,0.0701971,0.0014328,32.4459000,10.3238001,24.7826004,24.7143002,18.3824005,16.3750000,40,40,40,40,0,4,0,4,1,1,11165,8452,7472,5761,1739
4,126,4,forest,5792,4847,4880,4582,5426,11450,8289,34495,31728,14749,858,616,939,626,35,35,35,35,5792.000000000000000,4847.000000000000000,4880.000000000000000,4582.000000000000000,5426.000000000000000,11450,8289,0.0529789,-0.0314944,33.7948990,13.8281002,13.2082996,14.4499998,9.4782600,9.6400003,35,35,35,35,0,4,0,4,1,1,11420,8352,7257,5853,1540
5,145,4,forest,6204,4970,4679,4674,5372,11629,8485,35018,32742,16469,1016,686,1318,648,37,37,37,37,6204.000000000000000,4970.000000000000000,4679.000000000000000,4674.000000000000000,5372.000000000000000,11629,8485,0.0689484,-0.0005346,27.9906998,17.7733002,15.6409998,20.2917004,10.5541000,9.9761896,37,37,37,37,0,4,0,4,1,1,11594,8517,7643,5874,1714
6,204,4,forest,5943,4907,4464,4522,5461,11366,8242,36050,32971,16363,750,570,1011,562,36,36,36,36,5943.000000000000000,4907.000000000000000,4464.000000000000000,4522.000000000000000,5461.000000000000000,11366,8242,0.1004530,0.0064545,36.6055984,17.5301991,11.5475998,15.5651999,8.7749996,8.6521702,36,36,36,36,0,4,0,4,1,1,11320,8294,7650,5722,1680
7,242,4,forest,6131,4539,4507,4491,5006,11082,8613,34478,32701,15268,992,728,1221,812,39,39,39,39,6131.000000000000000,4539.000000000000000,4507.000000000000000,4491.000000000000000,5006.000000000000000,11082,8613,0.0524545,-0.0017782,28.7777996,15.0197001,15.2749996,18.7917004,11.2028999,12.5000000,39,39,39,39,0,4,0,4,1,1,11047,8661,7689,6131,1726
8,251,4,forest,6378,5098,4657,4808,5394,11826,8558,35162,33282,16213,1006,640,991,635,43,43,43,43,6378.000000000000000,5098.000000000000000,4657.000000000000000,4808.000000000000000,5394.000000000000000,11826,8558,0.0733261,0.0159535,29.2201996,17.1858997,15.4799995,15.2500000,9.8596497,9.7692299,43,43,43,43,0,4,0,4,1,1,11790,8572,7748,5860,1826
9,256,4,forest,6129,4998,4672,4676,5187,11515,8608,34471,32774,15490,1784,1025,1774,995,44,44,44,44,6129.000000000000000,4998.000000000000000,4672.000000000000000,4676.000000000000000,5187.000000000000000,11515,8608,0.0522365,0.0004279,27.3852997,15.5279999,27.4545002,27.2999992,15.7777996,15.3213997,44,44,44,44,0,4,0,4,1,1,11490,8650,7565,5831,1778
10,295,4,forest,6127,4972,4772,4943,5343,11730,8472,34609,33336,16574,1305,796,1344,582,34,34,34,34,6127.000000000000000,4972.000000000000000,4772.000000000000000,4943.000000000000000,5343.000000000000000,11730,8472,0.0564508,0.0176017,28.8038998,18.0142994,20.0832996,20.6818008,12.2500000,8.9583302,34,34,34,34,0,4,0,4,1,1,11700,8500,7452,5942,1901
11,327,4,forest,5829,4899,4596,4556,5180,11243,8449,34717,32616,17766,1267,728,1318,671,45,45,45,45,5829.000000000000000,4899.000000000000000,4596.000000000000000,4556.000000000000000,5180.000000000000000,11243,8449,0.0597381,-0.0043706,24.0564003,20.7492008,19.5000000,20.2856998,11.2115002,10.3332996,45,45,45,45,0,4,0,4,1,1,11216,8516,7432,5748,1731
12,387,4,forest,5988,4634,4559,4456,5389,11246,8281,35493,32385,15032,781,604,1006,466,36,36,36,36,5988.000000000000000,4634.000000000000000,4559.000000000000000,4456.000000000000000,5389.000000000000000,11246,8281,0.0834339,-0.0114254,23.2371006,14.4791002,12.0277996,15.4783001,9.3018904,7.1739101,36,36,36,36,0,4,0,4,1,1,11198,8332,7626,5982,1577
13,413,4,forest,6443,5303,4902,4934,5569,12186,8548,34846,32866,9806,1448,1336,1512,1868,51,51,51,51,6443.000000000000000,5303.000000000000000,4902.000000000000000,4934.000000000000000,5569.000000000000000,12186,8548,0.0636998,0.0032534,25.6940994,2.4913900,22.2856998,23.2691994,20.5555992,28.7500000,51,51,51,51,0,4,0,4,1,1,12155,8551,7633,5806,1770
14,438,4,forest,6186,4886,4521,4617,5299,11459,8480,35355,33104,18533,574,486,612,463,16,16,16,12,6186.000000000000000,4886.000000000000000,4521.000000000000000,4617.000000000000000,5299.000000000000000,11459,8480,0.0792261,0.0105056,34.2001991,22.5077991,8.8400002,9.4285698,7.4898000,7.1250000,16,16,16,12,0,4,0,4,1,1,11419,8515,7734,5882,1759
15,444,4,forest,6107,4775,4545,4532,5257,11327,8466,35139,32713,14409,1320,824,1346,747,40,40,40,39,6107.000000000000000,4775.000000000000000,4545.000000000000000,4532.000000000000000,5257.000000000000000,11327,8466,0.0726383,-0.0014322,26.2049007,13.0486002,20.3181992,20.7143002,12.6829004,11.5000000,40,40,40,39,0,4,0,4,1,1,11288,8510,7678,5932,1688
16,487,4,forest,6342,5090,4583,4545,5276,11608,8644,35062,32623,15744,1431,893,1593,824,45,45,45,45,6342.000000000000000,5090.000000000000000,4583.000000000000000,4545.000000000000000,5276.000000000000000,11608,8644,0.0702911,-0.0041630,19.7427998,16.1117992,22.0216999,24.5184994,13.7439003,12.6842003,45,45,45,45,0,4,0,4,1,1,11576,8673,7822,5770,1684
17,488,4,forest,6134,5138,4578,4659,5170,11524,8638,34749,33047,15201,1349,816,1755,761,45,45,45,45,6134.000000000000000,5138.000000000000000,4578.000000000000000,4659.000000000000000,5170.000000000000000,11524,8638,0.0607304,0.0087691,17.3367996,14.8660002,20.7560997,27.0000000,12.5570002,11.7193003,45,45,45,45,0,4,0,4,1,1,11501,8681,7631,5685,1826
18,499,4,forest,6250,4965,4805,4554,5272,11604,8630,34278,31881,17587,947,709,1076,623,38,38,38,38,6250.000000000000000,4965.000000000000000,4805.000000000000000,4554.000000000000000,5272.000000000000000,11604,8630,0.0463432,-0.0268191,29.2164993,20.3376999,14.5713997,16.5555992,10.9143000,9.5882301,38,38,38,38,0,4,0,4,1,1,11578,8666,7612,5907,1580
19,508,4,forest,6061,4567,4553,4580,5011,11119,8588,34328,32856,15985,1526,880,1599,659,39,39,39,39,6061.000000000000000,4567.000000000000000,4553.000000000000000,4580.000000000000000,5011.000000000000000,11119,8588,0.0478879,0.0029563,30.5681000,16.6648006,23.4783001,24.6000004,13.5454998,10.1429005,39,39,39,39,0,4,0,4,1,1,11088,8639,7588,6117,1780
20,512,4,forest,6157,4964,4599,4625,5122,11431,8651,34522,32852,16195,1088,694,1101,551,29,29,29,29,6157.000000000000000,4964.000000000000000,4599.000000000000000,4625.000000000000000,5122.000000000000000,11431,8651,0.0538011,0.0028187,29.5995998,17.1466999,16.7390995,16.9500008,10.6905003,8.4782600,29,29,29,29,0,4,0,4,1,1,11405,8693,7634,5840,1787
21,540,4,forest,6066,4805,4668,4669,5262,11431,8469,34719,32763,13269,1449,939,1485,955,35,35,35,35,6066.000000000000000,4805.000000000000000,4668.000000000000000,4669.000000000000000,5262.000000000000000,11431,8469,0.0598187,0.0001071,27.4004002,10.4340000,22.3043003,22.8570995,14.4499998,14.7037001,35,35,35,35,0,4,0,4,1,1,11398,8512,7535,5962,1742
22,569,4,forest,6319,4909,4791,4678,5240,11643,8656,34226,32369,17652,1185,749,1179,393,28,28,28,17,6319.000000000000000,4909.000000000000000,4791.000000000000000,4678.000000000000000,5240.000000000000000,11643,8656,0.0447612,-0.0119337,24.9899006,20.4883995,18.2381001,18.1499996,11.5348997,6.0555601,28,28,28,17,0,4,0,4,1,1,11615,8682,7631,6010,1689
23,590,4,forest,5829,4344,4140,4212,4743,10456,8578,34983,33042,15617,864,727,874,799,28,28,28,27,5829.000000000000000,4344.000000000000000,4140.000000000000000,4212.000000000000000,4743.000000000000000,10456,8578,0.0678825,0.0086207,16.8152008,15.8193998,13.3060999,13.4545002,11.1912003,12.2973003,28,28,28,27,0,4,0,4,1,1,10420,8661,7742,6017,1756
24,596,4,forest,6218,4808,4538,4554,5099,11325,8647,34667,32817,17376,1237,786,1318,790,42,42,42,42,6218.000000000000000,4808.000000000000000,4538.000000000000000,4554.000000000000000,5099.000000000000000,11325,8647,0.0582131,0.0017598,24.4804001,19.8547993,19.0435009,20.2856998,12.0951996,12.1578999,42,42,42,42,0,4,0,4,1,1,11294,8687,7730,5959,1750
25,609,4,forest,5892,4786,4455,4531,5379,11249,8252,35838,33037,15035,1184,824,1216,702,36,36,36,35,5892.000000000000000,4786.000000000000000,4455.000000000000000,4531.000000000000000,5379.000000000000000,11249,8252,0.0939597,0.0084576,18.5345001,14.4858999,18.2173996,18.7143002,12.6842003,10.8000002,36,36,36,35,0,4,0,4,1,1,11204,8308,7603,5808,1709
26,628,4,forest,5832,4824,4288,4539,4702,10846,8742,34268,33691,15566,1353,825,1491,840,40,40,40,40,5832.000000000000000,4824.000000000000000,4288.000000000000000,4539.000000000000000,4702.000000000000000,10846,8742,0.0460512,0.0284355,23.6359997,15.7040997,20.8181992,22.9444008,12.6976995,12.9259005,40,40,40,40,0,4,0,4,1,1,10831,8819,7558,5745,1999
27,674,4,forest,6258,5061,4730,4617,5242,11631,8658,34442,32363,19094,853,558,910,527,25,25,25,19,6258.000000000000000,5061.000000000000000,4730.000000000000000,4617.000000000000000,5242.000000000000000,11631,8658,0.0513438,-0.0120894,23.6681004,23.7938004,13.1303997,14.0000000,8.5862103,8.1153898,25,25,25,19,0,4,0,4,1,1,11606,8691,7644,5826,1684
28,682,4,forest,6120,4903,4463,4693,5263,11425,8462,35454,33582,14220,1167,788,1167,924,40,40,40,39,6120.000000000000000,4903.000000000000000,4463.000000000000000,4693.000000000000000,5263.000000000000000,11425,8462,0.0822538,0.0251202,16.9860992,12.6148005,17.9564991,17.9564991,12.1281996,14.2222004,40,40,40,39,0,4,0,4,1,1,11386,8500,7698,5847,1865
29,736,5,water,6097,5520,2610,2057,1196,7864,11715,20589,28878,8724,0,0,0,0,0,0,0,0,6097.000000000000000,5520.000000000000000,2610.000000000000000,2057.000000000000000,1196.000000000000000,7864,11715,-0.3715190,-0.1184920,0.2816620,0.0104980,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7986,11952,8930,4331,1845
30,737,5,water,5781,5333,2732,2006,1295,7708,11484,21069,27740,8725,0,0,0,0,0,0,0,0,5781.000000000000000,5333.000000000000000,2732.000000000000000,2006.000000000000000,1295.000000000000000,7708,11484,-0.3568410,-0.1532290,0.2612140,0.0126953,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7828,11741,8658,4385,1721
31,739,5,water,6034,5351,2892,2203,1359,8017,11569,20946,28329,8721,0,0,0,0,0,0,0,0,6034.000000000000000,5351.000000000000000,2892.000000000000000,2203.000000000000000,1359.000000000000000,8017,11569,-0.3606210,-0.1352310,0.2683060,0.0043640,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,8136,11800,8692,4559,1771
32,742,5,water,5918,5330,2652,1900,1162,7631,11642,19961,27347,8724,0,0,0,0,0,0,0,0,5918.000000000000000,5330.000000000000000,2652.000000000000000,1900.000000000000000,1162.000000000000000,7631,11642,-0.3906660,-0.1652020,0.2413540,0.0108948,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7753,11896,8813,4396,1704
33,746,5,water,5997,5284,2745,2169,1229,7831,11606,20262,28920,8721,0,0,0,0,0,0,0,0,5997.000000000000000,5284.000000000000000,2745.000000000000000,2169.000000000000000,1229.000000000000000,7831,11606,-0.3814800,-0.1172160,0.2381150,0.0025635,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7951,11843,8748,4557,1850
34,748,5,water,6150,5481,2625,1937,1062,7765,11854,18872,27819,8723,0,0,0,0,0,0,0,0,6150.000000000000000,5481.000000000000000,2625.000000000000000,1937.000000000000000,1062.000000000000000,7765,11854,-0.4239220,-0.1508110,0.2414090,0.0068970,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7892,12094,8969,4365,1773
35,750,5,water,5994,5500,2698,1883,1107,7728,11778,19061,26931,8724,0,0,0,0,0,0,0,0,5994.000000000000000,5500.000000000000000,2698.000000000000000,1883.000000000000000,1107.000000000000000,7728,11778,-0.4181340,-0.1779090,0.1828030,0.0112610,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7858,12030,8835,4294,1692
36,752,5,water,6266,5453,2809,1931,1061,7882,11946,17962,26691,8720,0,0,0,0,0,0,0,0,6266.000000000000000,5453.000000000000000,2809.000000000000000,1931.000000000000000,1061.000000000000000,7882,11946,-0.4516800,-0.1852320,0.6199410,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,8014,12179,8936,4484,1670
37,755,5,water,6142,5359,2757,2070,1226,7896,11705,20167,28097,8721,0,0,0,0,0,0,0,0,6142.000000000000000,5359.000000000000000,2757.000000000000000,2070.000000000000000,1226.000000000000000,7896,11705,-0.3843840,-0.1423240,0.2740080,0.0028992,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,8017,11936,8869,4527,1761
38,756,5,water,6087,5434,2849,1913,1125,7828,11823,18548,26320,8722,0,0,0,0,0,0,0,0,6087.000000000000000,5434.000000000000000,2849.000000000000000,1913.000000000000000,1125.000000000000000,7828,11823,-0.4338200,-0.1965560,0.2414920,0.0050659,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7960,12067,8799,4435,1627
39,757,5,water,5964,5364,2765,1892,960,7615,11865,16885,26618,8723,0,0,0,0,0,0,0,0,5964.000000000000000,5364.000000000000000,2765.000000000000000,1892.000000000000000,960.000000000000000,7615,11865,-0.4845640,-0.1874600,0.2413820,0.0072327,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7752,12122,8745,4427,1701
40,759,5,water,6162,5332,2862,1933,1134,7837,11823,18593,26412,8720,0,0,0,0,0,0,0,0,6162.000000000000000,5332.000000000000000,2862.000000000000000,1933.000000000000000,1134.000000000000000,7837,11823,-0.4324320,-0.1937430,0.4957780,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7965,12060,8839,4557,1622
41,760,5,water,6298,5233,2715,1971,1121,7807,11826,19147,27558,8720,0,0,0,0,0,0,0,0,6298.000000000000000,5233.000000000000000,2715.000000000000000,1971.000000000000000,1121.000000000000000,7807,11826,-0.4155370,-0.1587710,0.7951560,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7926,12051,9015,4660,1713
42,761,5,water,6225,5285,2720,2056,1149,7845,11777,19457,28205,8720,0,0,0,0,0,0,0,0,6225.000000000000000,5285.000000000000000,2720.000000000000000,2056.000000000000000,1149.000000000000000,7845,11777,-0.4060480,-0.1390280,1.7364000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7966,12004,8942,4611,1779
43,763,5,water,6109,5180,2789,1732,1093,7611,11795,18447,25100,8722,0,0,0,0,0,0,0,0,6109.000000000000000,5180.000000000000000,2789.000000000000000,1732.000000000000000,1093.000000000000000,7611,11795,-0.4368880,-0.2337980,0.1363570,0.0054321,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7735,12043,8895,4594,1497
44,764,5,water,6161,5251,2790,1723,1042,7640,11879,17816,25014,8723,0,0,0,0,0,0,0,0,6161.000000000000000,5251.000000000000000,2790.000000000000000,1723.000000000000000,1042.000000000000000,7640,11879,-0.4561590,-0.2364280,0.0959122,0.0076294,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7768,12126,8926,4555,1506
45,766,5,water,6147,5236,2602,1971,1173,7713,11689,20358,28239,8720,0,0,0,0,0,0,0,0,6147.000000000000000,5236.000000000000000,2602.000000000000000,1971.000000000000000,1173.000000000000000,7713,11689,-0.3785430,-0.1379840,1.6184400,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7828,11923,8989,4565,1761
46,769,5,water,6044,5281,2669,2064,1063,7698,11752,18662,28572,8720,0,0,0,0,0,0,0,0,6044.000000000000000,5281.000000000000000,2669.000000000000000,2064.000000000000000,1063.000000000000000,7698,11752,-0.4303320,-0.1278260,1.7119000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,7822,11994,8831,4538,1846
47,819,4,forest,5695,4275,3277,3358,3388,8995,9469,33305,33159,19480,672,546,685,435,25,25,25,18,5695.000000000000000,4275.000000000000000,3277.000000000000000,3358.000000000000000,3388.000000000000000,8995,9469,0.0166542,0.0122080,21.4412994,24.6797009,10.3478003,10.5500002,8.4146299,6.7058802,25,25,25,18,0,4,0,4,1,1,8997,9623,8211,5629,1876
48,916,4,forest,5826,4323,3785,3626,4142,9765,9029,34235,32057,13549,1942,1288,1987,1203,46,46,46,46,5826.000000000000000,4323.000000000000000,3785.000000000000000,3626.000000000000000,4142.000000000000000,9765,9029,0.0450360,-0.0214546,23.8271008,11.0770998,29.8799992,30.5832996,19.8292999,18.5184994,46,46,46,46,0,4,0,4,1,1,9746,9147,8028,5813,1624
49,949,4,forest,6110,4980,4912,4477,5391,11614,8511,34283,31242,15750,1233,782,1187,718,32,32,32,32,6110.000000000000000,4980.000000000000000,4912.000000000000000,4477.000000000000000,5391.000000000000000,11614,8511,0.0464913,-0.0463308,24.8903999,16.1257992,18.9722004,18.2632008,12.0361004,11.0525999,32,32,32,32,0,4,0,4,1,1,11587,8557,7485,5845,1440
50,979,4,forest,6180,5102,4881,4879,5598,11954,8356,35001,32753,14600,1235,845,1293,806,37,37,37,37,6180.000000000000000,5102.000000000000000,4881.000000000000000,4879.000000000000000,5598.000000000000000,11954,8356,0.0684226,-0.0002049,26.3714008,13.4863997,19.0000000,19.8999996,13.0000000,12.4090996,37,37,37,37,0,4,0,4,1,1,11918,8378,7479,5853,1729
51,1044,4,forest,6239,4781,4661,4746,5423,11610,8398,35235,33056,11759,1452,985,1464,1144,38,38,38,38,6239.000000000000000,4781.000000000000000,4661.000000000000000,4746.000000000000000,5423.000000000000000,11610,8398,0.0755653,0.0090358,21.0918999,6.9717999,22.3400002,22.5237999,15.1646004,17.6140003,38,38,38,38,0,4,0,4,1,1,11565,8421,7666,6057,1749
52,1088,4,forest,6146,4930,4912,5043,5506,11899,8362,34627,33191,11454,1641,1145,1681,1158,38,38,38,38,6146.000000000000000,4930.000000000000000,4912.000000000000000,5043.000000000000000,5506.000000000000000,11899,8362,0.0570167,0.0131592,22.1497993,6.2713900,25.2609005,25.8635998,17.6215992,17.8213997,38,38,38,38,0,4,0,4,1,1,11865,8382,7375,6041,1862
53,1139,4,forest,6128,4989,4522,4395,4959,11222,8781,34269,32293,13275,979,675,821,658,38,38,38,38,6128.000000000000000,4989.000000000000000,4522.000000000000000,4395.000000000000000,4959.000000000000000,11222,8781,0.0460922,-0.0142424,20.3917007,10.4492998,15.0667000,12.6429005,10.3901997,10.1351004,38,38,38,38,0,4,0,4,1,1,11203,8837,7699,5735,1688
54,1146,4,forest,6194,4957,4750,4921,5522,11823,8348,35222,33339,14079,1037,845,1077,918,34,34,34,33,6194.000000000000000,4957.000000000000000,4750.000000000000000,4921.000000000000000,5522.000000000000000,11823,8348,0.0751558,0.0176817,30.3843002,12.2932997,15.9615002,16.5713997,13.0000000,14.1364002,34,34,34,33,0,4,0,4,1,1,11782,8368,7548,5958,1836
55,1179,4,forest,6133,4886,4681,4545,5166,11407,8614,34373,32277,14230,1378,895,1341,782,34,34,34,34,6133.000000000000000,4886.000000000000000,4681.000000000000000,4545.000000000000000,5166.000000000000000,11407,8614,0.0492536,-0.0147409,25.3409004,12.6381998,21.2143002,20.6364002,13.7755003,12.0369997,34,34,34,34,0,4,0,4,1,1,11381,8659,7593,5896,1665
56,1216,4,forest,6302,5039,4578,4493,5428,11616,8493,35542,32453,13833,1283,825,1283,717,38,38,38,38,6302.000000000000000,5039.000000000000000,4578.000000000000000,4493.000000000000000,5428.000000000000000,11616,8493,0.0849490,-0.0093705,28.4752998,11.7282000,19.7390995,19.7390995,12.6999998,11.0369997,38,38,38,38,0,4,0,4,1,1,11575,8523,7834,5774,1598
57,1249,4,forest,6119,5268,4493,4619,5491,11676,8386,36034,33213,11139,1586,1115,1692,1146,34,34,34,34,6119.000000000000000,5268.000000000000000,4493.000000000000000,4619.000000000000000,5491.000000000000000,11676,8386,0.0999599,0.0138279,28.3227997,5.5488000,24.4043007,26.0417004,17.1548996,17.6345997,34,34,34,34,0,4,0,4,1,1,11637,8425,7736,5518,1752
58,1342,4,forest,5720,4166,3216,3341,3580,9019,9281,34514,33384,9782,1734,1407,1783,1447,36,36,36,36,5720.000000000000000,4166.000000000000000,3216.000000000000000,3341.000000000000000,3580.000000000000000,9019,9281,0.0535609,0.0190636,21.2635994,2.4369500,26.6786003,27.4400005,21.6571007,22.2691994,36,36,36,36,0,4,0,4,1,1,9006,9428,8301,5697,1826
59,1368,4,forest,5508,4154,3146,3294,3487,8819,9247,34444,33512,12931,1102,748,1183,764,36,36,36,36,5508.000000000000000,4154.000000000000000,3146.000000000000000,3294.000000000000000,3487.000000000000000,8819,9247,0.0514096,0.0229814,40.0047989,9.6584797,16.9591999,18.2143002,11.5114002,11.7540998,36,36,36,36,0,4,0,4,1,1,8810,9413,8194,5600,1861
60,1405,4,forest,5666,4152,3225,3437,3676,9076,9168,34900,33802,11993,1197,910,1340,996,35,35,35,35,5666.000000000000000,4152.000000000000000,3225.000000000000000,3437.000000000000000,3676.000000000000000,9076,9168,0.0653529,0.0318223,37.3955002,7.5075102,18.4167004,20.6189995,14.0000000,15.3332996,35,35,35,35,0,4,0,4,1,1,9059,9312,8247,5711,1874
61,1478,4,forest,5649,4060,3269,3170,3565,8882,9266,34178,32256,16118,800,503,865,420,25,25,25,25,5649.000000000000000,4060.000000000000000,3269.000000000000000,3170.000000000000000,3565.000000000000000,8882,9266,0.0433129,-0.0153750,30.3495007,16.9687004,12.3077002,13.3157997,7.7500000,6.4642901,25,25,25,25,0,4,0,4,1,1,8870,9423,8261,5731,1662
62,1487,4,forest,5373,3908,3154,3146,3366,8530,9240,33825,32718,10729,1168,842,1227,783,28,28,28,28,5373.000000000000000,3908.000000000000000,3154.000000000000000,3146.000000000000000,3366.000000000000000,8530,9240,0.0325154,-0.0012698,34.1096992,4.6079702,17.9750004,18.8845997,12.9660997,12.0475998,28,28,28,28,0,4,0,4,1,1,8522,9421,8113,5726,1760
63,1510,4,forest,5569,3818,3053,3201,3358,8561,9277,34318,33535,11589,1295,911,1291,857,38,38,38,38,5569.000000000000000,3818.000000000000000,3053.000000000000000,3201.000000000000000,3358.000000000000000,8561,9277,0.0475745,0.0236649,29.1368008,6.5808401,19.9230995,19.8750000,14.0237999,13.1851997,38,38,38,38,0,4,0,4,1,1,8545,9442,8299,5861,1838
64,1523,4,forest,5590,4068,3596,3548,3627,9181,9237,32900,32539,12803,1352,973,1322,905,29,29,29,29,5590.000000000000000,4068.000000000000000,3596.000000000000000,3548.000000000000000,3627.000000000000000,9181,9237,0.0042919,-0.0067189,29.0382004,9.3660603,20.7999992,20.3477993,14.9722004,13.9231005,29,29,29,29,0,4,0,4,1,1,9178,9385,7919,5891,1796
65,1540,4,forest,5538,4272,3351,3197,3537,8954,9313,33644,31989,12423,1278,964,1330,976,31,31,31,31,5538.000000000000000,4272.000000000000000,3351.000000000000000,3197.000000000000000,3537.000000000000000,8954,9313,0.0270035,-0.0235186,35.8119011,8.4952698,19.6667004,20.4666996,14.8413000,15.0237999,31,31,31,31,0,4,0,4,1,1,8953,9481,8120,5543,1675
66,1575,4,forest,5676,4399,3728,3756,3958,9668,9104,33740,32882,11359,1350,1018,1349,1107,35,35,35,35,5676.000000000000000,4399.000000000000000,3728.000000000000000,3756.000000000000000,3958.000000000000000,9668,9104,0.0299246,0.0037413,26.4612007,6.0528002,20.7777996,20.7600002,15.6667004,17.0384998,35,35,35,35,0,4,0,4,1,1,9661,9233,7894,5719,1826
67,1605,4,forest,5543,3938,3182,3280,3497,8754,9209,34305,33256,10987,1318,977,1310,1082,32,32,32,32,5543.000000000000000,3938.000000000000000,3182.000000000000000,3280.000000000000000,3497.000000000000000,8754,9209,0.0471628,0.0151656,29.8185997,5.2001300,20.2889004,20.1599998,15.0312996,16.6590996,32,32,32,32,0,4,0,4,1,1,8740,9371,8200,5800,1810
68,1612,2,herb,6425,5585,4721,4583,4567,11599,9418,32216,32274,8690,1498,1498,1570,1498,23,23,23,23,6425.000000000000000,5585.000000000000000,4721.000000000000000,4583.000000000000000,4567.000000000000000,11599,9418,-0.0165805,-0.0148323,30.0608997,-0.0673523,23.0464993,24.1599998,23.0464993,23.0464993,23,23,23,23,1,2,0,2,1,1,11622,9462,7673,5476,1885
69,1674,4,forest,5524,3918,2982,3183,3325,8530,9294,34541,33828,14105,965,666,1020,648,30,30,30,30,5524.000000000000000,3918.000000000000000,2982.000000000000000,3183.000000000000000,3325.000000000000000,8530,9294,0.0543840,0.0326034,30.1956997,12.3516998,14.8519001,15.7037001,10.2473001,9.9814796,30,30,30,30,0,4,0,4,1,1,8517,9464,8312,5737,1878
70,1680,2,herb,6531,5497,4394,4400,4651,11439,9308,33690,32782,8729,1473,1473,1513,1473,17,17,17,17,6531.000000000000000,5497.000000000000000,4394.000000000000000,4400.000000000000000,4651.000000000000000,11439,9308,0.0284135,0.0006823,30.1669998,0.0216370,22.6667004,23.2917004,22.6667004,22.6667004,17,17,17,17,0,2,0,2,1,1,11441,9346,8018,5443,1858
